terminal_code,name_ko,name_en,city,eup_myeon,ri,terminal_type,road_addr,jibun_addr,lat,lng,phone,has_parking,parking_note,use_yn,source_url,memo,created_at,updated_at
JN-MP-001,목포연안여객선터미널,Mokpo Coastal Passenger Terminal,목포시,용당동,,연안여객터미널,전라남도 목포시 양을로 203,전라남도 목포시 용당동 1202-8,34.78231514,126.3842449,061-240-6060,Y,대형 유료 주차장,Y,https://biz.mokpo.go.kr/tour/tourguide/traffic/ship,홍도·흑산·가거도·비금·도초 등 주요 섬 노선 출발 ,0000-00-00,0000-00-00
JN-MP-002,목포북항여객선터미널,Mokpo North Port Passenger Terminal,목포시,산정동,,연안여객터미널,,,34.80521858,126.3647534,061-XXX-XXXX,Y,북항 인근 주차 가능,Y,https://eastdorm.tistory.com/340,비금·도초행 노선 출발지 :contentReference[oaicite:1]{index=1},0000-00-00,0000-00-00
JN-MP-003,목포국제여객터미널,Mokpo International Passenger Terminal,목포시,연동,,연안여객터미널,,,34.78014157,126.382229,061-XXX-XXXX,Y,제주 등 중장거리 노선,Y,https://mokpo.ferry.or.kr/,제주 등 운항 :contentReference[oaicite:2]{index=2},0000-00-00,0000-00-00
JN-SA-001,암태남강선착장,Amtae Namgang Pier,신안군,암태면,중부로,소형선착장,전라남도 신안군 암태면 중부로 1502-80,,34.80293945,126.1202494,061-271-1004,Y,"무료 주차장, 여객선·버스 환승 가능",Y,https://m.tripinfo.co.kr/info.html?content_id=2750937,비금도행 여객선 탑승 가능 :contentReference[oaicite:3]{index=3},0000-00-00,0000-00-00
JN-SA-002,가룡선착장,Garong Pier,신안군,증도면,가룡리,소형선착장,,,34.92077317,126.3049443,061-XXX-XXXX,N,도로변 단기 정차,Y,https://www.namdokorea.com/tour/ship/shipList.do?menuCd=T003002004,가룡↔신의(송도·병풍) 슬로시티6호 운항 :contentReference[oaicite:4]{index=4},0000-00-00,0000-00-00
JN-SA-003,송공선착장,Songgong Pier,신안군,압해읍,송공리,소형선착장,,,34.84797503,126.2268116,061-XXX-XXXX,Y,소규모 공영주차장,Y,https://www.namdokorea.com/tour/ship/shipList.do?menuCd=T003002004,비금·도초 방면 여객선 출발지 :contentReference[oaicite:5]{index=5},0000-00-00,0000-00-00
JN-SA-004,비금 가산 여객선터미널,Bigeum Gasan Passenger Terminal,신안군,비금면,가산리,소형선착장,,,34.76075001,125.9982822,061-XXX-XXXX,Y,선착장 앞 노상 주차,Y,https://ryunan9903.tistory.com/1148,"비금도의 관문, 목포·암태 남강 방면 노선 :contentReference[oaicite:6]{index=6}",0000-00-00,0000-00-00
JN-WD-001,완도항 여객선터미널,Wando Passenger Terminal,완도군,완도읍,,연안여객터미널,전라남도 완도군 완도읍 장보고대로 339,전라남도 완도군 완도읍 군내리 1255번지,34.31711787,126.7594746,1666-0950,Y,"대형 공영주차장, 장기주차 가능",Y,https://wando.ferry.or.kr/,제주·청산도 등 다수 노선 출발 :contentReference[oaicite:7]{index=7},0000-00-00,0000-00-00
JN-YS-001,여수연안여객선터미널,Yeosu Coastal Passenger Terminal,여수시,교동,,연안여객터미널,전라남도 여수시 여객선터미널길 17,,34.73847302,127.7326388,061-662-1144,Y,터미널 내·인근 주차장,Y,https://www.yeosu.go.kr/tour/information/trafficinfo/traffic/ship,백야도·금오도·거문도 등 섬 노선 운항 :contentReference[oaicite:8]{index=8},0000-00-00,0000-00-00
JN-YS-002,여수엑스포여객선터미널,Yeosu Expo Passenger Terminal,여수시,덕충동,,연안여객터미널,전라남도 여수시 엑스포대로 320-66,,34.75428586,127.7529394,061-XXX-XXXX,Y,엑스포장 인근 주차장,Y,https://encykorea.aks.ac.kr/Article/E0081067,크루즈·관광선 위주 운항 :contentReference[oaicite:9]{index=9},0000-00-00,0000-00-00
JN-GH-001,녹동신항여객선터미널,Nokdong New Port Passenger Terminal,고흥군,도양읍,녹동리,연안여객터미널,전라남도 고흥군 도양읍 비봉로 266-16,,34.52309307,127.1436372,061-842-6111,Y,터미널 전용 주차장,Y,https://www.namhaegosok.co.kr/s3/s3_2.php,"녹동-제주, 도서 노선 운항 :contentReference[oaicite:10]{index=10}",0000-00-00,0000-00-00
JN-JD-001,진도항 연안여객선터미널,Jindo Coastal Passenger Terminal,진도군,임회면,,연안여객터미널,전라남도 진도군 임회면 ○○로 ○○,전남 진도군 임회면 남동리 산 85-16,34.37400651,126.134337,061-XXX-XXXX,Y,공영주차장,Y,https://www.namdokorea.com/tour/ship/shipList.do?menuCd=T003002004,진도↔조도·접도 등 도서 노선 :contentReference[oaicite:11]{index=11},0000-00-00,0000-00-00
JN-HN-001,땅끝선착장,Ttangkkeut Pier,해남군,송지면,갈두리,소형선착장,전라남도 해남군 송지면 땅끝마을길 일대,전남 해남군 송지면 송호리 1310,34.29849313,126.529539,061-XXX-XXXX,Y,관광지 공영주차장,Y,https://www.namdokorea.com/tour/ship/shipList.do?menuCd=T003002004,땅끝↔산양·이목 등 도서 노선 :contentReference[oaicite:12]{index=12},0000-00-00,0000-00-00
JN-GY-001,금호동 선착장,Geumho Pier,광양시,금호동,,소형선착장,전라남도 광양시 금호동 ○○로 ○○,전라남도 광양시 항만9로 70,34.92216765,127.697092,061-XXX-XXXX,N,노상 주차,Y,,여수·섬 관광 유람선 일부 운항,0000-00-00,0000-00-00
